station_no,name_tw,parking_spaces,lat,lng
500103023,大龍峒社會住宅,20,25.0708,121.51826
500103024,捷運大橋頭站(2號出口),57,25.06314,121.51308
500103025,捷運大橋頭站(1A出口),18,25.06325,121.51162
500103026,捷運民權西路站(2號出口),25,25.06174,121.51969
500103027,捷運雙連站(2號出口),41,25.05826,121.52063
500103028,捷運北門站(3號出口),62,25.04991,121.5104
500103029,朝陽公園,10,25.05592,121.51367
500103030,永樂市場,38,25.05454,121.51052
500103031,大龍公園,18,25.07049,121.51596
500103032,重慶涼州街口,13,25.06054,121.51338
500103033,圓山線形公園,14,25.06867,121.51993
500103034,圓環站,31,25.05369,121.51418
500103035,重慶民族路口,26,25.06853,121.51359
500103036,承德路三段8巷口,21,25.06407,121.51822
500103037,太原廣場,31,25.04925,121.51468
500103038,國順公園,20,25.06594,121.51078
500103039,聯合醫院中興院區,27,25.05205,121.50818
500103040,蔣渭水紀念公園,36,25.06011,121.51729
500103041,迪化休閒運動公園,15,25.07491,121.5115
500103042,大同運動中心,16,25.06496,121.51608
500103043,重慶保安街口(家樂福重慶店),20,25.05918,121.51373
500103044,大稻埕碼頭,52,25.05662,121.50783
500103045,歸綏戲曲公園,20,25.05805,121.51353
500103046,民權國中(民權西路),17,25.06322,121.5144
500103047,承德民權路口,17,25.06247,121.51839
500103048,南京太原路口,18,25.05366,121.51638
500103049,承德民生西路口,11,25.05756,121.51828
500103050,太原五原路口,32,25.05646,121.51698
500103051,臺北轉運站(華陰街),20,25.04937,121.51914
500103052,捷運民權西路站(3號出口),50,25.06129,121.52021
500103053,捷運中山站(5號出口),15,25.05296,121.51938
500103054,重慶長安路口,15,25.0515,121.51398
500103055,承德昌吉街口,18,25.06587,121.51847
500103056,大同16號廣場,14,25.05658,121.50826
500103057,捷運圓山站(2號出口),37,25.07182,121.51929
500103058,樹德公園_1,40,25.06669,121.51615
500103059,承德鄭州路口(市民高架下),38,25.04879,121.51626
500103060,成淵高中,14,25.06036,121.51996
500103061,雙蓮國小,20,25.06157,121.51683
500103062,寧夏涼州街口,15,25.06095,121.51428
500103063,延平涼州街口,14,25.06092,121.51126
500103064,大同行政中心,16,25.06603,121.51481
500103065,大龍市場,15,25.07473,121.51451
500104001,劍潭抽水站,17,25.08128,121.51784
500104002,通河東街大南路口,15,25.08914,121.51542
500104003,福港街停車場,22,25.08695,121.51901
500104004,百齡國小,50,25.08521,121.51918
500104005,雨聲街165巷口,15,25.10277,121.53357
500104006,天和公園,13,25.12001,121.53342
500104007,中山天母路口,29,25.11856,121.52964
500104008,天母運動公園,27,25.11633,121.53414
500104009,臺北市立大學(天母校區),23,25.11356,121.53718
500104010,忠誠路二段53巷,18,25.11127,121.53244
500104012,天母棒球場,26,25.11341,121.53195
500104013,天母北天玉街口,15,25.12011,121.52652
500104014,蘭興公園,48,25.11184,121.52589
500104015,明勝公園,14,25.08009,121.51895
500104016,劍潭海外青年活動中心,23,25.07994,121.52426
500104018,忠誠路一段173巷口,11,25.10813,121.5304
500104019,雨農國小,14,25.1054,121.5295
500104020,忠誠公園,14,25.10399,121.52593
500104021,芝山抽水站,30,25.10155,121.52832
500104022,至誠路一段305巷口,21,25.10186,121.53083
500104023,華齡公園,32,25.08302,121.52069
500104024,前港公園(福德宮),18,25.08671,121.52096
500104025,華齡街185巷口,12,25.08828,121.51985
500104026,前港公園(前港街),19,25.0848,121.52125
500104027,百齡高中,15,25.08736,121.52272
500104028,捷運芝山站(2號出口),21,25.10364,121.52219
500104029,臺灣戲曲中心,14,25.10208,121.51979
500104030,捷運劍潭站(2號出口),49,25.08388,121.52535
500104031,劍潭基河路口,66,25.08403,121.5249
500104032,志成公園,23,25.09667,121.53206
500104033,福林國小,14,25.09896,121.53025
500104034,中山中正路口,19,25.09651,121.52753
500104035,士林運動中心,30,25.08911,121.52154
500104036,陽明高中,36,25.09164,121.51706
500104037,兒童新樂園,23,25.09631,121.51449
500104038,臺北市立天文館,31,25.09598,121.51776
500104039,華聲公園,27,25.09619,121.5223
500104040,福林公園,17,25.09419,121.52833
500104041,捷運士林站(2號出口),30,25.09343,121.52642
500104042,銘傳大學,26,25.08771,121.52677
500104043,士林高商,26,25.09435,121.51702
500104044,蘭雅公園,38,25.10991,121.53039
500104045,聯合醫院陽明院區,15,25.10455,121.53195
500104046,捷運芝山站(1號出口),36,25.10225,121.52286
500104047,至誠公園,15,25.10143,121.53585
500104048,原住民文化主題公園,21,25.10113,121.55159
500104049,通河東街2段10巷口,15,25.09106,121.51502
500104050,梅林新村,15,25.09755,121.54036
500104051,延平北中正路口,30,25.08678,121.50948
500104052,重慶北路四段190巷口,13,25.08505,121.51166
500104053,重慶北葫東街口,15,25.08393,121.51169
500104054,葫蘆國小,20,25.08254,121.5075
500104055,士林3號廣場,30,25.10459,121.52417
500104056,社正公園,15,25.08824,121.51054
500104057,社子國小,15,25.09058,121.50142
500104058,社中街384巷口,18,25.09346,121.50376
500104059,忠誠路一段138號,15,25.10641,121.52944
500104060,社子公園,14,25.0902,121.50622
500104061,國立故宮博物院,17,25.09833,121.54788
500104062,泰北高中,16,25.09763,121.53402
500104063,後港公園,15,25.09312,121.51419
500104064,重慶北路四段117號,18,25.08279,121.51219
500104065,社子島島頭公園,15,25.10893,121.46639
500104066,延平北路八段133巷口,15,25.10304,121.48297
500104067,坤天亭,14,25.1064,121.4836
500104068,社子島濕地解說小築,15,25.11314,121.48974
500104069,福安國中,11,25.10261,121.48819
500104070,福安消防分隊,15,25.09669,121.49706
500104071,聖山綠地,15,25.10696,121.53234
500104072,芝山國小,38,25.11044,121.53595
500104073,士林新天地,29,25.08899,121.51751
500104074,蘭雅國小,37,25.10775,121.52312
500104075,中正基河路口,37,25.0933,121.51962
500104076,福林公園(中正路),27,25.09609,121.53006
500104077,至善臨溪路口,48,25.09709,121.54229
500104078,市立圖書館葫蘆堵分館,13,25.08217,121.51074
500104079,東山路110巷口,16,25.11306,121.53945
500104080,永平社會住宅,15,25.08887,121.50314
500104081,雨農橋,16,25.10012,121.53253
500104082,通河街76巷/承德路四段10巷口,14,25.08019,121.5202
500104083,芝山聖佑宮,15,25.10455,121.53025
500104084,至誠雨聲街口,9,25.10199,121.52927
500104085,捷運線型公園(後街),13,25.09812,121.52449
500104086,天母公園,12,25.12408,121.53003
