站點編號,2月20日見車率,3月22日見車率,對應站名,消長幅度,色票,分類,lat,lng
500101177,86.48%,99.91%,復興南路一段126巷口,13.43%,#FEDD88,90%以上、未滿100%,25.04311,121.54313
500101179,94.63%,87.96%,捷運東門站(5號出口),-6.67%,#D7586D,-5%至-10%,25.03363,121.52962
500101180,96.39%,100.00%,仁愛路四段48巷口,3.61%,#FEB700,100%,25.03609,121.54709
500101181,89.35%,86.30%,捷運公館站(3號出口),-3.06%,#FBB1BD,-5%以內,25.01551,121.53374
500101182,80.65%,81.02%,臺北科技大學(電機工程系),0.37%,#F0D5BE,+5%以內,25.04196,121.53653
500101184,91.20%,86.85%,新生南路三段94巷口,-4.35%,#FBB1BD,-5%以內,25.01744,121.53334
500101185,68.52%,80.37%,辛亥新生路口西北側,11.85%,#C09662,+10%以上,25.02267,121.5341
500101186,83.61%,83.06%,捷運大安站(6號出口),-0.56%,#FBB1BD,-5%以內,25.03479,121.54376
500101187,89.54%,99.91%,臥龍街195巷口,10.37%,#FEDD88,90%以上、未滿100%,25.01783,121.55224
500101188,72.78%,84.63%,辛亥路三段157巷口,11.85%,#C09662,+10%以上,25.01727,121.54904
500101189,68.80%,73.80%,臥龍基隆路口,5.00%,#E3BE98,+5%至10%,25.02039,121.54853
500101190,88.15%,90.09%,敦親公園,1.94%,#FEDD88,90%以上、未滿100%,25.02347,121.54108
500101191,73.43%,83.80%,大安運動中心,10.37%,#C09662,+10%以上,25.02054,121.54561
500101192,82.87%,84.63%,和平敦化路口,1.76%,#F0D5BE,+5%以內,25.02444,121.54908
500101193,72.50%,42.41%,基隆長興路口,-30.09%,#B1112B,-10%以上,25.01705,121.54435
500101194,69.35%,90.37%,仁愛路四段122巷口,21.02%,#FEDD88,90%以上、未滿100%,25.03762,121.55009
500101196,97.69%,86.02%,市民敦化路口,-11.67%,#B1112B,-10%以上,25.04464,121.54944
500101197,87.87%,86.94%,忠孝東路四段49巷口,-0.93%,#FBB1BD,-5%以內,25.04172,121.54541
500101198,74.54%,72.04%,市民復興路口(東南側),-2.50%,#FBB1BD,-5%以內,25.04472,121.54401
500101199,88.33%,83.06%,和平新生路口西南側,-5.28%,#D7586D,-5%至-10%,25.02598,121.53454
500101200,86.57%,94.44%,全安公園,7.87%,#FEDD88,90%以上、未滿100%,25.02535,121.55101
500101201,74.63%,80.09%,信義路三段134巷口,5.46%,#E3BE98,+5%至10%,25.03333,121.53968
500101202,69.35%,100.00%,仁愛敦南圓環(東南側),30.65%,#FEB700,100%,25.03715,121.54936
500101203,78.43%,93.89%,臺北遠企購物中心,15.46%,#FEDD88,90%以上、未滿100%,25.02709,121.54902
500101204,73.61%,96.67%,外交部外交及國際事務學院,23.06%,#FEDD88,90%以上、未滿100%,25.0371,121.54839
500101205,83.70%,100.00%,四維路170巷口,16.30%,#FEB700,100%,25.02821,121.54864
500101206,81.11%,85.74%,捷運大安站(3號出口),4.63%,#F0D5BE,+5%以內,25.03328,121.5425
500101207,74.91%,85.74%,捷運臺電大樓站(2號出口)_1,10.83%,#C09662,+10%以上,25.02055,121.52855
500101208,81.48%,83.43%,信義路四段199巷,1.94%,#F0D5BE,+5%以內,25.03459,121.55164
500101209,61.30%,74.26%,臺大資訊大樓,12.96%,#C09662,+10%以上,25.02101,121.54153
500101210,87.78%,99.72%,敦化南路二段81巷,11.94%,#FEDD88,90%以上、未滿100%,25.03002,121.54893
500101211,100.00%,98.89%,原臺北刑務所官舍,-1.11%,#FEDD88,90%以上、未滿100%,25.03054,121.52466
500101212,84.72%,93.24%,捷運國父紀念館站(1號出口),8.52%,#FEDD88,90%以上、未滿100%,25.04205,121.55657
500101213,91.11%,88.06%,懷生國中,-3.06%,#FBB1BD,-5%以內,25.0401,121.54122
500101214,85.56%,97.50%,仁愛敦南圓環(西北側),11.94%,#FEDD88,90%以上、未滿100%,25.03827,121.54802
500101215,82.59%,100.00%,立人國小,17.41%,#FEB700,100%,25.02974,121.55146
500101216,77.22%,89.35%,和平東路二段18巷口,12.13%,#C09662,+10%以上,25.02268,121.53608
500101217,64.17%,74.07%,捷運大安站(5號出口),9.91%,#E3BE98,+5%至10%,25.03303,121.54372
500101218,87.50%,79.72%,臨江公園,-7.78%,#D7586D,-5%至-10%,25.02832,121.55592
500101219,82.41%,89.26%,羅斯福路四段113巷19弄口,6.85%,#E3BE98,+5%至10%,25.01027,121.53998
500101221,100.00%,91.67%,忠孝東路四段248巷口,-8.33%,#FEDD88,90%以上、未滿100%,25.04132,121.55393
500101222,89.72%,97.31%,仁愛延吉路口(西北側),7.59%,#FEDD88,90%以上、未滿100%,25.03795,121.55466
500101223,70.65%,86.76%,樂利路101巷口,16.11%,#C09662,+10%以上,25.02528,121.55224
500101224,87.22%,82.69%,羅斯福浦城街口,-4.54%,#FBB1BD,-5%以內,25.02208,121.52678
500101225,75.56%,87.69%,敦化南路一段295巷口,12.13%,#C09662,+10%以上,25.03551,121.54951
500101226,78.89%,67.78%,通安區民活動中心,-11.11%,#B1112B,-10%以上,25.02942,121.55294
500101227,99.81%,94.63%,復興忠孝東路口(東南側),-5.19%,#FEDD88,90%以上、未滿100%,25.04061,121.54389
500101228,77.78%,93.80%,仁愛大安路口(東北側),16.02%,#FEDD88,90%以上、未滿100%,25.03813,121.54631
500101229,82.04%,93.43%,臺灣師範大學(浦城街),11.39%,#FEDD88,90%以上、未滿100%,25.02476,121.52803
